
---------- Begin Simulation Statistics ----------
sim_seconds                               2420.308666                       # Number of seconds simulated
sim_ticks                                2420308666254500                       # Number of ticks simulated
final_tick                               2420308666254500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_seconds                                 19821.98                       # Real time elapsed on the host
host_tick_rate                           122102258792                       # Simulator tick rate (ticks/s)
host_mem_usage                                5239508                       # Number of bytes of host memory used
sim_insts                                  2173586170                       # Number of instructions simulated
sim_ops                                    5419977219                       # Number of ops (including micro ops) simulated
host_inst_rate                                 109655                       # Simulator instruction rate (inst/s)
host_op_rate                                   273433                       # Simulator op (including micro ops) rate (op/s)
system.apicbridge.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.clk_domain.clock                          1000                       # Clock period in ticks
system.cpu.numCycles                       8802861504                       # Number of cpu cycles simulated
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed
system.cpu.instsAdded                      5608787055                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.nonSpecInstsAdded                 23740353                       # Number of non-speculative instructions added to the IQ
system.cpu.instsIssued                     5586039569                       # Number of instructions issued
system.cpu.squashedInstsIssued                2413877                       # Number of squashed instructions issued
system.cpu.squashedInstsExamined            212550159                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.squashedOperandsExamined         182134729                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.squashedNonSpecRemoved             7726137                       # Number of squashed non-spec instructions that were removed
system.cpu.numIssuedDist::samples          4163851102                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               1.341556                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              1.995950                       # Number of insts issued each cycle
system.mem_ctrls1.wrQLenPdf::27                208192                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::28                201088                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::29                193447                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::30                186422                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::31                184474                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::32                182914                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::33                  1271                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::34                   251                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::35                   138                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::36                     1                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::37                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::38                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::39                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::40                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::41                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::42                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::43                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::44                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::45                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::46                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::47                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::48                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::49                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::50                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::51                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::52                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::53                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::54                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::55                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::56                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::57                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::58                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::59                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::60                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::61                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::62                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.wrQLenPdf::63                     0                       # What write queue length does an incoming req see
system.mem_ctrls1.rdPerTurnAround::samples       179000                       # Reads before turning the bus around for writes
system.mem_ctrls1.rdPerTurnAround::mean     39.030777                       # Reads before turning the bus around for writes
system.mem_ctrls1.rdPerTurnAround::stdev  4488.305314                       # Reads before turning the bus around for writes
system.mem_ctrls1.rdPerTurnAround::0-65535       178993    100.00%    100.00% # Reads before turning the bus around for writes
system.mem_ctrls1.rdPerTurnAround::65536-131071            4      0.00%    100.00% # Reads before turning the bus around for writes
system.mem_ctrls1.rdPerTurnAround::131072-196607            1      0.00%    100.00% # Reads before turning the bus around for writes
system.mem_ctrls1.rdPerTurnAround::786432-851967            1      0.00%    100.00% # Reads before turning the bus around for writes
system.mem_ctrls1.rdPerTurnAround::1.6384e+06-1.70394e+06            1      0.00%    100.00% # Reads before turning the bus around for writes
system.mem_ctrls1.rdPerTurnAround::total       179000                       # Reads before turning the bus around for writes
system.mem_ctrls1.wrPerTurnAround::samples       179000                       # Writes before turning the bus around for reads
system.mem_ctrls1.wrPerTurnAround::mean     16.257497                       # Writes before turning the bus around for reads
system.mem_ctrls1.wrPerTurnAround::gmean    16.241337                       # Writes before turning the bus around for reads
system.mem_ctrls1.wrPerTurnAround::stdev     0.764002                       # Writes before turning the bus around for reads
system.mem_ctrls1.wrPerTurnAround::16          156872     87.64%     87.64% # Writes before turning the bus around for reads
system.mem_ctrls1.wrPerTurnAround::17            4385      2.45%     90.09% # Writes before turning the bus around for reads
system.mem_ctrls1.wrPerTurnAround::18           13894      7.76%     97.85% # Writes before turning the bus around for reads
system.mem_ctrls1.wrPerTurnAround::19            2613      1.46%     99.31% # Writes before turning the bus around for reads
system.mem_ctrls1.wrPerTurnAround::20             741      0.41%     99.72% # Writes before turning the bus around for reads
system.mem_ctrls1.wrPerTurnAround::21             138      0.08%     99.80% # Writes before turning the bus around for reads
system.mem_ctrls1.wrPerTurnAround::22             180      0.10%     99.90% # Writes before turning the bus around for reads
system.mem_ctrls1.wrPerTurnAround::23             147      0.08%     99.98% # Writes before turning the bus around for reads
system.mem_ctrls1.wrPerTurnAround::24              16      0.01%     99.99% # Writes before turning the bus around for reads
system.mem_ctrls1.wrPerTurnAround::25               4      0.00%     99.99% # Writes before turning the bus around for reads
system.mem_ctrls1.wrPerTurnAround::26               1      0.00%     99.99% # Writes before turning the bus around for reads
system.mem_ctrls1.wrPerTurnAround::28               1      0.00%    100.00% # Writes before turning the bus around for reads
system.mem_ctrls1.wrPerTurnAround::29               2      0.00%    100.00% # Writes before turning the bus around for reads
system.mem_ctrls1.wrPerTurnAround::30               1      0.00%    100.00% # Writes before turning the bus around for reads
system.mem_ctrls1.wrPerTurnAround::31               2      0.00%    100.00% # Writes before turning the bus around for reads
system.mem_ctrls1.wrPerTurnAround::33               2      0.00%    100.00% # Writes before turning the bus around for reads
system.mem_ctrls1.wrPerTurnAround::43               1      0.00%    100.00% # Writes before turning the bus around for reads
system.mem_ctrls1.wrPerTurnAround::total       179000                       # Writes before turning the bus around for reads
system.mem_ctrls1.bytesReadWrQ                6396480                       # Total number of bytes read from write queue
system.mem_ctrls1.bytesReadSys              457571520                       # Total read bytes from the system interface side
system.mem_ctrls1.bytesWrittenSys           190054336                       # Total written bytes from the system interface side
system.mem_ctrls1.avgRdBWSys                     0.19                       # Average system read bandwidth in MiByte/s
system.mem_ctrls1.avgWrBWSys                     0.08                       # Average system write bandwidth in MiByte/s
system.mem_ctrls1.totGap                 2420299959744500                       # Total gap between requests
system.mem_ctrls1.avgGap                 239180069.77                       # Average gap between requests
system.mem_ctrls1.requestorReadBytes::.cpu.mmu.dtb.walker    245792000                       # Per-requestor bytes read from memory
system.mem_ctrls1.requestorReadBytes::.cpu.mmu.itb.walker      9239488                       # Per-requestor bytes read from memory
system.mem_ctrls1.requestorReadBytes::.cpu.inst      6953280                       # Per-requestor bytes read from memory
system.mem_ctrls1.requestorReadBytes::.cpu.data    189190272                       # Per-requestor bytes read from memory
system.mem_ctrls1.requestorWriteBytes::.writebacks    186245888                       # Per-requestor bytes write to memory
system.mem_ctrls1.requestorReadRate::.cpu.mmu.dtb.walker 101553.989136588294                       # Per-requestor bytes read from memory rate (Bytes/sec)
system.mem_ctrls1.requestorReadRate::.cpu.mmu.itb.walker 3817.483335420347                       # Per-requestor bytes read from memory rate (Bytes/sec)
system.mem_ctrls1.requestorReadRate::.cpu.inst 2872.889766890935                       # Per-requestor bytes read from memory rate (Bytes/sec)
system.mem_ctrls1.requestorReadRate::.cpu.data 78167.828193904541                       # Per-requestor bytes read from memory rate (Bytes/sec)
system.mem_ctrls1.requestorWriteRate::.writebacks 76951.295756925523                       # Per-requestor bytes write to memory rate (Bytes/sec)
system.mem_ctrls1.requestorReadAccesses::.cpu.mmu.dtb.walker      3841147                       # Per-requestor read serviced memory accesses
system.mem_ctrls1.requestorReadAccesses::.cpu.mmu.itb.walker       144456                       # Per-requestor read serviced memory accesses
system.mem_ctrls1.requestorReadAccesses::.cpu.inst       128632                       # Per-requestor read serviced memory accesses
system.mem_ctrls1.requestorReadAccesses::.cpu.data      3035320                       # Per-requestor read serviced memory accesses
system.mem_ctrls1.requestorWriteAccesses::.writebacks      2969599                       # Per-requestor write serviced memory accesses
system.mem_ctrls1.requestorReadTotalLat::.cpu.mmu.dtb.walker 116736520512                       # Per-requestor read total memory access latency
system.mem_ctrls1.requestorReadTotalLat::.cpu.mmu.itb.walker   4555647250                       # Per-requestor read total memory access latency
system.mem_ctrls1.requestorReadTotalLat::.cpu.inst   3602950500                       # Per-requestor read total memory access latency
system.mem_ctrls1.requestorReadTotalLat::.cpu.data 106778881026                       # Per-requestor read total memory access latency
system.mem_ctrls1.requestorWriteTotalLat::.writebacks 66895785583587888                       # Per-requestor write total memory access latency
system.mem_ctrls1.requestorReadAvgLat::.cpu.mmu.dtb.walker     30391.06                       # Per-requestor read average memory access latency
system.mem_ctrls1.requestorReadAvgLat::.cpu.mmu.itb.walker     31536.57                       # Per-requestor read average memory access latency
system.mem_ctrls1.requestorReadAvgLat::.cpu.inst     28009.75                       # Per-requestor read average memory access latency
system.mem_ctrls1.requestorReadAvgLat::.cpu.data     35178.79                       # Per-requestor read average memory access latency
system.mem_ctrls1.requestorWriteAvgLat::.writebacks 22526875037.20                       # Per-requestor write average memory access latency
system.mem_ctrls1.dram.bytes_read::.cpu.mmu.dtb.walker    245833408                       # Number of bytes read from this memory
system.mem_ctrls1.dram.bytes_read::.cpu.mmu.itb.walker      9245184                       # Number of bytes read from this memory
system.mem_ctrls1.dram.bytes_read::.cpu.inst      8232448                       # Number of bytes read from this memory
system.mem_ctrls1.dram.bytes_read::.cpu.data    194260480                       # Number of bytes read from this memory
system.mem_ctrls1.dram.bytes_read::total    457571520                       # Number of bytes read from this memory
system.mem_ctrls1.dram.bytes_inst_read::.cpu.inst      8232448                       # Number of instructions bytes read from this memory
system.mem_ctrls1.dram.bytes_inst_read::total      8232448                       # Number of instructions bytes read from this memory
system.mem_ctrls1.dram.bytes_written::.writebacks    181821696                       # Number of bytes written to this memory
system.mem_ctrls1.dram.bytes_written::total    181821696                       # Number of bytes written to this memory
system.mem_ctrls1.dram.num_reads::.cpu.mmu.dtb.walker      3841147                       # Number of read requests responded to by this memory
system.mem_ctrls1.dram.num_reads::.cpu.mmu.itb.walker       144456                       # Number of read requests responded to by this memory
system.mem_ctrls1.dram.num_reads::.cpu.inst       128632                       # Number of read requests responded to by this memory
system.mem_ctrls1.dram.num_reads::.cpu.data      3035320                       # Number of read requests responded to by this memory
system.mem_ctrls1.dram.num_reads::total       7149555                       # Number of read requests responded to by this memory
system.mem_ctrls1.dram.num_writes::.writebacks      2840964                       # Number of write requests responded to by this memory
system.mem_ctrls1.dram.num_writes::total      2840964                       # Number of write requests responded to by this memory
system.mem_ctrls1.dram.bw_read::.cpu.mmu.dtb.walker       101571                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls1.dram.bw_read::.cpu.mmu.itb.walker         3820                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls1.dram.bw_read::.cpu.inst         3401                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls1.dram.bw_read::.cpu.data        80263                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls1.dram.bw_read::total          189055                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls1.dram.bw_inst_read::.cpu.inst         3401                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls1.dram.bw_inst_read::total         3401                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls1.dram.bw_write::.writebacks        75123                       # Write bandwidth from this memory (bytes/s)
system.mem_ctrls1.dram.bw_write::total          75123                       # Write bandwidth from this memory (bytes/s)
system.mem_ctrls1.dram.bw_total::.writebacks        75123                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls1.dram.bw_total::.cpu.mmu.dtb.walker       101571                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls1.dram.bw_total::.cpu.mmu.itb.walker         3820                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls1.dram.bw_total::.cpu.inst         3401                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls1.dram.bw_total::.cpu.data        80263                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls1.dram.bw_total::total         264178                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls1.dram.readBursts             7049610                       # Number of DRAM read bursts
system.mem_ctrls1.dram.writeBursts            2910092                       # Number of DRAM write bursts
system.mem_ctrls1.dram.perBankRdBursts::0       237584                       # Per bank write bursts
system.mem_ctrls1.dram.perBankRdBursts::1       195929                       # Per bank write bursts
system.mem_ctrls1.dram.perBankRdBursts::2       207155                       # Per bank write bursts
system.mem_ctrls1.dram.perBankRdBursts::3      1353285                       # Per bank write bursts
system.mem_ctrls1.dram.perBankRdBursts::4      1352222                       # Per bank write bursts
system.mem_ctrls1.dram.perBankRdBursts::5       213635                       # Per bank write bursts
system.mem_ctrls1.dram.perBankRdBursts::6       226596                       # Per bank write bursts
system.mem_ctrls1.dram.perBankRdBursts::7       230785                       # Per bank write bursts
system.mem_ctrls1.dram.perBankRdBursts::8       270920                       # Per bank write bursts
system.mem_ctrls1.dram.perBankRdBursts::9       209010                       # Per bank write bursts
system.mem_ctrls1.dram.perBankRdBursts::10       201503                       # Per bank write bursts
system.mem_ctrls1.dram.perBankRdBursts::11       220772                       # Per bank write bursts
system.mem_ctrls1.dram.perBankRdBursts::12       222035                       # Per bank write bursts
system.mem_ctrls1.dram.perBankRdBursts::13       211458                       # Per bank write bursts
system.mem_ctrls1.dram.perBankRdBursts::14      1506878                       # Per bank write bursts
system.mem_ctrls1.dram.perBankRdBursts::15       189843                       # Per bank write bursts
system.mem_ctrls1.dram.perBankWrBursts::0       197061                       # Per bank write bursts
system.mem_ctrls1.dram.perBankWrBursts::1       181404                       # Per bank write bursts
system.mem_ctrls1.dram.perBankWrBursts::2       188029                       # Per bank write bursts
system.mem_ctrls1.dram.perBankWrBursts::3       183228                       # Per bank write bursts
system.mem_ctrls1.dram.perBankWrBursts::4       181110                       # Per bank write bursts
system.mem_ctrls1.dram.perBankWrBursts::5       182058                       # Per bank write bursts
system.mem_ctrls1.dram.perBankWrBursts::6       173450                       # Per bank write bursts
system.mem_ctrls1.dram.perBankWrBursts::7       173556                       # Per bank write bursts
system.mem_ctrls1.dram.perBankWrBursts::8       190325                       # Per bank write bursts
system.mem_ctrls1.dram.perBankWrBursts::9       179490                       # Per bank write bursts
system.mem_ctrls1.dram.perBankWrBursts::10       180450                       # Per bank write bursts
system.mem_ctrls1.dram.perBankWrBursts::11       179966                       # Per bank write bursts
system.mem_ctrls1.dram.perBankWrBursts::12       176035                       # Per bank write bursts
system.mem_ctrls1.dram.perBankWrBursts::13       180910                       # Per bank write bursts
system.mem_ctrls1.dram.perBankWrBursts::14       190327                       # Per bank write bursts
system.mem_ctrls1.dram.perBankWrBursts::15       172693                       # Per bank write bursts
system.mem_ctrls1.dram.totQLat            99493811788                       # Total ticks spent queuing
system.mem_ctrls1.dram.totBusLat          35248050000                       # Total ticks spent in databus transfers
system.mem_ctrls1.dram.totMemAccLat      231673999288                       # Total ticks spent from burst creation until serviced by the DRAM
system.mem_ctrls1.dram.avgQLat               14113.38                       # Average queueing delay per DRAM burst
system.mem_ctrls1.dram.avgBusLat              5000.00                       # Average bus latency per DRAM burst
system.mem_ctrls1.dram.avgMemAccLat          32863.38                       # Average memory access latency per DRAM burst
system.mem_ctrls1.dram.readRowHits            4103340                       # Number of row buffer hits during reads
system.mem_ctrls1.dram.writeRowHits           2561788                       # Number of row buffer hits during writes
system.mem_ctrls1.dram.readRowHitRate           58.21                       # Row buffer hit rate for reads
system.mem_ctrls1.dram.writeRowHitRate          88.03                       # Row buffer hit rate for writes
system.mem_ctrls1.dram.bytesPerActivate::samples      3294571                       # Bytes accessed per row activation
system.mem_ctrls1.dram.bytesPerActivate::mean   193.476038                       # Bytes accessed per row activation
system.mem_ctrls1.dram.bytesPerActivate::gmean   115.751506                       # Bytes accessed per row activation
system.mem_ctrls1.dram.bytesPerActivate::stdev   277.679554                       # Bytes accessed per row activation
system.mem_ctrls1.dram.bytesPerActivate::0-127      1689056     51.27%     51.27% # Bytes accessed per row activation
system.mem_ctrls1.dram.bytesPerActivate::128-255      1144561     34.74%     86.01% # Bytes accessed per row activation
system.mem_ctrls1.dram.bytesPerActivate::256-383        64926      1.97%     87.98% # Bytes accessed per row activation
system.mem_ctrls1.dram.bytesPerActivate::384-511        35972      1.09%     89.07% # Bytes accessed per row activation
system.mem_ctrls1.dram.bytesPerActivate::512-639        23927      0.73%     89.80% # Bytes accessed per row activation
system.mem_ctrls1.dram.bytesPerActivate::640-767        16881      0.51%     90.31% # Bytes accessed per row activation
system.mem_ctrls1.dram.bytesPerActivate::768-895        16561      0.50%     90.81% # Bytes accessed per row activation
system.mem_ctrls1.dram.bytesPerActivate::896-1023        17980      0.55%     91.36% # Bytes accessed per row activation
system.mem_ctrls1.dram.bytesPerActivate::1024-1151       284707      8.64%    100.00% # Bytes accessed per row activation
system.mem_ctrls1.dram.bytesPerActivate::total      3294571                       # Bytes accessed per row activation
system.mem_ctrls1.dram.bytesRead            451175040                       # Total number of bytes read from DRAM
system.mem_ctrls1.dram.bytesWritten         186245888                       # Total number of bytes written to DRAM
system.mem_ctrls1.dram.avgRdBW               0.186412                       # Average DRAM read bandwidth in MiBytes/s
system.mem_ctrls1.dram.avgWrBW               0.076951                       # Average DRAM write bandwidth in MiBytes/s
system.mem_ctrls1.dram.peakBW                12800.00                       # Theoretical peak bandwidth in MiByte/s
system.mem_ctrls1.dram.busUtil                   0.00                       # Data bus utilization in percentage
system.mem_ctrls1.dram.busUtilRead               0.00                       # Data bus utilization in percentage for reads
system.mem_ctrls1.dram.busUtilWrite              0.00                       # Data bus utilization in percentage for writes
system.mem_ctrls1.dram.pageHitRate              66.92                       # Row buffer hit rate, read and write combined
system.mem_ctrls1.dram.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.mem_ctrls1.dram.rank0.actEnergy    14319405660                       # Energy for activate commands per rank (pJ)
system.mem_ctrls1.dram.rank0.preEnergy     7610937015                       # Energy for precharge commands per rank (pJ)
system.mem_ctrls1.dram.rank0.readEnergy   28682743740                       # Energy for read commands per rank (pJ)
system.mem_ctrls1.dram.rank0.writeEnergy   7620657120                       # Energy for write commands per rank (pJ)
system.mem_ctrls1.dram.rank0.refreshEnergy 191057121740160.031250                       # Energy for refresh commands per rank (pJ)
system.mem_ctrls1.dram.rank0.actBackEnergy 36580453816620                       # Energy for active background per rank (pJ)
system.mem_ctrls1.dram.rank0.preBackEnergy 898593935154240                       # Energy for precharge background per rank (pJ)
system.mem_ctrls1.dram.rank0.actPowerDownEnergy            0                       # Energy for active power-down per rank (pJ)
system.mem_ctrls1.dram.rank0.prePowerDownEnergy            0                       # Energy for precharge power-down per rank (pJ)
system.mem_ctrls1.dram.rank0.selfRefreshEnergy            0                       # Energy for self refresh per rank (pJ)
system.mem_ctrls1.dram.rank0.totalEnergy 1126289744454555                       # Total energy per rank (pJ)
system.mem_ctrls1.dram.rank0.averagePower   465.349631                       # Core power per rank (mW)
system.mem_ctrls1.dram.rank0.totalIdleTime            0                       # Total Idle time Per DRAM Rank
system.mem_ctrls1.dram.rank0.pwrStateTime::IDLE 2335801912563040                       # Time in different power states
system.mem_ctrls1.dram.rank0.pwrStateTime::REF 80819425440000                       # Time in different power states
system.mem_ctrls1.dram.rank0.pwrStateTime::SREF            0                       # Time in different power states
system.mem_ctrls1.dram.rank0.pwrStateTime::PRE_PDN            0                       # Time in different power states
system.mem_ctrls1.dram.rank0.pwrStateTime::ACT 3687328251460                       # Time in different power states
system.mem_ctrls1.dram.rank0.pwrStateTime::ACT_PDN            0                       # Time in different power states
system.mem_ctrls1.dram.rank1.actEnergy     9203852700                       # Energy for activate commands per rank (pJ)
system.mem_ctrls1.dram.rank1.preEnergy     4891959930                       # Energy for precharge commands per rank (pJ)
system.mem_ctrls1.dram.rank1.readEnergy   21651471660                       # Energy for read commands per rank (pJ)
system.mem_ctrls1.dram.rank1.writeEnergy   7570023120                       # Energy for write commands per rank (pJ)
system.mem_ctrls1.dram.rank1.refreshEnergy 191057121740160.031250                       # Energy for refresh commands per rank (pJ)
system.mem_ctrls1.dram.rank1.actBackEnergy 36571091131710                       # Energy for active background per rank (pJ)
system.mem_ctrls1.dram.rank1.preBackEnergy 898601819520480                       # Energy for precharge background per rank (pJ)
system.mem_ctrls1.dram.rank1.actPowerDownEnergy            0                       # Energy for active power-down per rank (pJ)
system.mem_ctrls1.dram.rank1.prePowerDownEnergy            0                       # Energy for precharge power-down per rank (pJ)
system.mem_ctrls1.dram.rank1.selfRefreshEnergy            0                       # Energy for self refresh per rank (pJ)
system.mem_ctrls1.dram.rank1.totalEnergy 1126273349699760                       # Total energy per rank (pJ)
system.mem_ctrls1.dram.rank1.averagePower   465.342857                       # Core power per rank (mW)
system.mem_ctrls1.dram.rank1.totalIdleTime            0                       # Total Idle time Per DRAM Rank
system.mem_ctrls1.dram.rank1.pwrStateTime::IDLE 2335822324759857                       # Time in different power states
system.mem_ctrls1.dram.rank1.pwrStateTime::REF 80819425440000                       # Time in different power states
system.mem_ctrls1.dram.rank1.pwrStateTime::SREF            0                       # Time in different power states
system.mem_ctrls1.dram.rank1.pwrStateTime::PRE_PDN            0                       # Time in different power states
system.mem_ctrls1.dram.rank1.pwrStateTime::ACT 3666916054643                       # Time in different power states
system.mem_ctrls1.dram.rank1.pwrStateTime::ACT_PDN            0                       # Time in different power states
system.mem_ctrls1.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.membus.trans_dist::ReadReq               43777                       # Transaction distribution
system.membus.trans_dist::ReadResp           71392161                       # Transaction distribution
system.membus.trans_dist::WriteReq             629699                       # Transaction distribution
system.membus.trans_dist::WriteResp            629699                       # Transaction distribution
system.membus.trans_dist::WritebackDirty      4149960                       # Transaction distribution
system.membus.trans_dist::WritebackClean     65337957                       # Transaction distribution
system.membus.trans_dist::CleanEvict          4680276                       # Transaction distribution
system.membus.trans_dist::UpgradeReq             7824                       # Transaction distribution
system.membus.trans_dist::ReadExReq           2779475                       # Transaction distribution
system.membus.trans_dist::ReadExResp          2779475                       # Transaction distribution
system.membus.trans_dist::ReadCleanReq       65338356                       # Transaction distribution
system.membus.trans_dist::ReadSharedReq       6010028                       # Transaction distribution
system.membus.trans_dist::InvalidateReq         49376                       # Transaction distribution
system.membus.pkt_count_system.apicbridge.mem_side_port::system.cpu.interrupts.int_responder         7136                       # Packet count per connected requestor and responder (bytes)
system.membus.pkt_count_system.apicbridge.mem_side_port::total         7136                       # Packet count per connected requestor and responder (bytes)
system.membus.pkt_count_system.iocache.mem_side_port::system.mem_ctrls0.port       105948                       # Packet count per connected requestor and responder (bytes)
system.membus.pkt_count_system.iocache.mem_side_port::total       105948                       # Packet count per connected requestor and responder (bytes)
system.membus.pkt_count_system.cpu.icache.mem_side_port::system.mem_ctrls0.port    195628506                       # Packet count per connected requestor and responder (bytes)
system.membus.pkt_count_system.cpu.icache.mem_side_port::system.mem_ctrls1.port       386020                       # Packet count per connected requestor and responder (bytes)
system.membus.pkt_count_system.cpu.icache.mem_side_port::total    196014526                       # Packet count per connected requestor and responder (bytes)
system.membus.pkt_count_system.cpu.dcache.mem_side_port::system.bridge.cpu_side_port       126832                       # Packet count per connected requestor and responder (bytes)
system.membus.pkt_count_system.cpu.dcache.mem_side_port::system.cpu.interrupts.pio      1212984                       # Packet count per connected requestor and responder (bytes)
system.membus.pkt_count_system.cpu.dcache.mem_side_port::system.mem_ctrls0.port      4853634                       # Packet count per connected requestor and responder (bytes)
system.membus.pkt_count_system.cpu.dcache.mem_side_port::system.mem_ctrls1.port      9112932                       # Packet count per connected requestor and responder (bytes)
system.membus.pkt_count_system.cpu.dcache.mem_side_port::total     15306382                       # Packet count per connected requestor and responder (bytes)
system.membus.pkt_count_system.cpu.itb_walker_cache.mem_side_port::system.mem_ctrls0.port        19274                       # Packet count per connected requestor and responder (bytes)
system.membus.pkt_count_system.cpu.itb_walker_cache.mem_side_port::system.mem_ctrls1.port       448930                       # Packet count per connected requestor and responder (bytes)
system.membus.pkt_count_system.cpu.itb_walker_cache.mem_side_port::total       468204                       # Packet count per connected requestor and responder (bytes)
system.membus.pkt_count_system.cpu.dtb_walker_cache.mem_side_port::system.mem_ctrls0.port       277256                       # Packet count per connected requestor and responder (bytes)
system.membus.pkt_count_system.cpu.dtb_walker_cache.mem_side_port::system.mem_ctrls1.port     11595564                       # Packet count per connected requestor and responder (bytes)
system.membus.pkt_count_system.cpu.dtb_walker_cache.mem_side_port::total     11872820                       # Packet count per connected requestor and responder (bytes)
system.membus.pkt_count::total              223775016                       # Packet count per connected requestor and responder (bytes)
system.membus.pkt_size_system.apicbridge.mem_side_port::system.cpu.interrupts.int_responder        14272                       # Cumulative packet size per connected requestor and responder (bytes)
system.membus.pkt_size_system.apicbridge.mem_side_port::total        14272                       # Cumulative packet size per connected requestor and responder (bytes)
system.membus.pkt_size_system.iocache.mem_side_port::system.mem_ctrls0.port      3166080                       # Cumulative packet size per connected requestor and responder (bytes)
system.membus.pkt_size_system.iocache.mem_side_port::total      3166080                       # Cumulative packet size per connected requestor and responder (bytes)
system.membus.pkt_size_system.cpu.icache.mem_side_port::system.mem_ctrls0.port   8346806016                       # Cumulative packet size per connected requestor and responder (bytes)
system.membus.pkt_size_system.cpu.icache.mem_side_port::system.mem_ctrls1.port     16468864                       # Cumulative packet size per connected requestor and responder (bytes)
system.membus.pkt_size_system.cpu.icache.mem_side_port::total   8363274880                       # Cumulative packet size per connected requestor and responder (bytes)
